nyk tor 12/1/2023,401584904
det nyk 11/30/2023,401584896
cha nyk 11/28/2023,401584145
phx nyk 11/26/2023,401584875
mia nyk 11/24/2023,401584133
nyk min 11/20/2023,401584849
nyk cha 11/18/2023,401584830
cha nyk 11/12/2023,401584805
sas nyk 11/8/2023,401584789
lac nyk 11/6/2023,401584779
nyk cle 10/31/2023,401584740
nyk nop 10/28/2023,401584718
nyk atl 10/27/2023,401584707
bos nyk 10/25/2023,401584693
nyk mil 12/5/2023,401607489
atl mil 12/2/2023,401584914
mil chi 11/30/2023,401584897
mil mia 11/28/2023,401584144
por mil 11/26/2023,401584873
wsh mil 11/24/2023,401584137
mil bos 11/22/2023,401584856
mil wsh 11/20/2023,401584847
dal mil 11/18/2023,401584833
mil cha 11/17/2023,401584115
mil tor 11/15/2023,401584823
chi mil 11/13/2023,401584818
det mil 11/8/2023,401584793
mil bkn 11/6/2023,401584777
nyk mil 11/3/2023,401584090
mil tor 11/1/2023,401584744
mia mil 10/30/2023,401584735
atl mil 10/29/2023,401584725
phi mil 10/26/2023,401584703
mil utah 3/22/2023,401469246
lac mil 3/19/2023,401469223
bos mil 3/17/2023,401469208
nyk mil 3/14/2023,401469189
mil phi 3/10/2023,401469153
mil bos 3/8/2023,401469141
mil det 3/6/2023,401468970
mil orl 3/5/2023,401469121
mil atl 3/3/2023,401469102
nop mil 3/1/2023,401469096
mil gsw 2/28/2023,401469086
hou mil 2/26/2023,401469065
wsh mil 2/14/2023,401469027
lal mil 2/13/2023,401469022
okc mil 2/10/2023,401468998
gsw mil 2/8/2023,401468985
mil mil 2/6/2023,401468970
mil chi 2/4/2023,401468952
mil wsh 2/3/2023,401468716
mil mem 2/1/2023,401468939
atl mil 1/30/2023,401468918
tor mil 1/28/2023,401468906
utah mil 1/25/2023,401468882
sas mil 1/23/2023,401468867
lal mil 1/22/2023,401468860
phi mil 1/19/2023,401468837
mil den 1/17/2023,401468820
dal mil 1/15/2023,401468803
dal mil 1/14/2023,401558361
